CID,amount
N00000010,260656
N00000019,452931
N00000036,1432569
N00000048,70102
N00000078,395451
N00000086,99316
N00000113,2000
N00000133,50000
N00000143,245421
N00000153,353041
N00000179,253444
N00000183,16753
N00000205,31272
N00000226,216035
N00000245,128099778
N00000267,342348
N00000270,664997
N00000275,597648
N00000280,348547
N00000308,173200
N00000360,468291
N00000362,38037
N00000379,30000
N00000397,198850
N00000423,373225
N00000444,1816473
N00000450,1000
N00000459,71556
N00000469,263085
N00000480,158517
N00000491,78750
N00000524,2000
N00000528,128885
N00000534,17600
N00000561,1289222
N00000575,267664
N00000581,1384588
N00000615,404650
N00000616,325283
N00000637,15170
N00000652,781902
N00000659,132822
N00000684,370127
N00000699,800395
N00000716,357737
N00000740,7000
N00000743,374584
N00000751,384935
N00000756,7083
N00000766,1248996
N00000781,568702
N00000812,26900
N00000826,466604
N00000834,463187
N00000851,467894
N00000854,3500
N00000860,297509
N00000927,1500
N00000939,307549
N00000962,1000
N00000964,940506
N00000983,498959
N00000999,2750
N00001003,502897
N00001020,632595
N00001024,343710
N00001025,2000
N00001026,25000
N00001074,271984
N00001082,486944
N00001093,973464
N00001102,395343
N00001109,9000
N00001110,264571
N00001127,673521
N00001143,275829
N00001148,538651
N00001171,379802
N00001193,215226
N00001214,208655
N00001222,238707
N00001261,498299
N00001267,814913
N00001276,390310
N00001290,260399
N00001295,817401
N00001305,2000
N00001311,290641
N00001329,229303
N00001330,1000
N00001373,381616
N00001380,595689
N00001408,767289
N00001422,222523
N00001427,894686
N00001447,7500
N00001469,1102216
N00001488,23478
N00001489,782656
N00001496,500
N00001505,1100
N00001509,587212
N00001510,330345
N00001519,23127
N00001529,1088526
N00001535,397641
N00001542,1349661
N00001572,3000
N00001579,2070061
N00001604,3649961
N00001619,221238
N00001633,204284
N00001669,8000
N00001678,1000
N00001685,56000
N00001691,13000
N00001692,116800
N00001695,260073
N00001725,301802
N00001746,283769
N00001751,1000
N00001754,13000
N00001758,2637306
N00001762,907033
N00001764,363998
N00001783,999495
N00001806,758161
N00001811,335863
N00001813,195789
N00001817,386391
N00001821,1207361
N00001849,414478
N00001861,431751
N00001883,500
N00001885,55905
N00001925,6500
N00001928,5033
N00001941,3436
N00001945,1225855
N00001955,620725
N00001971,435035
N00001979,141500
N00002008,9255
N00002012,52178
N00002017,243202
N00002045,756703
N00002047,1350
N00002061,40000
N00002072,29463
N00002073,463102
N00002083,504547
N00002091,70815
N00002147,198788
N00002167,272721
N00002171,900609
N00002198,279221
N00002200,2000
N00002214,160764
N00002221,7580558
N00002247,304212
N00002260,388161
N00002269,417117
N00002283,572532
N00002299,292871
N00002315,900286
N00002327,424047
N00002328,305959
N00002356,390883
N00002377,87285
N00002383,612598
N00002408,540416
N00002423,148000
N00002424,900
N00002428,177322
N00002442,19500
N00002460,33938
N00002464,1000
N00002472,4450069
N00002492,517829
N00002511,95268
N00002519,6000
N00002521,8000
N00002522,90100
N00002526,7000
N00002555,69000
N00002556,598745
N00002577,391044
N00002593,4566070
N00002598,4250
N00002599,274724
N00002610,267879
N00002630,444559
N00002656,361546
N00002674,363668
N00002685,367960
N00002691,124750
N00002713,259575
N00002742,489066
N00002743,935010
N00002776,1000
N00002782,484861
N00002791,277434
N00002793,310358
N00002807,267743
N00002839,371379
N00002856,20980
N00002858,253273
N00002872,251211
N00002877,734967
N00002884,329407
N00002898,755728
N00002905,219041
N00002926,437578
N00002982,528415
N00003025,1000
N00003028,296790
N00003042,432514
N00003062,147969
N00003083,324055
N00003091,500
N00003105,410541
N00003126,395716
N00003132,357563
N00003147,72500
N00003158,500
N00003159,310208
N00003202,177107
N00003209,379384
N00003218,633849
N00003254,607429
N00003258,3667
N00003264,818912
N00003280,299649
N00003288,492155
N00003328,149750
N00003329,193080
N00003339,1000
N00003341,669383
N00003350,199942
N00003389,139750
N00003392,2408383
N00003429,2000
N00003430,60913
N00003437,2634864
N00003444,257889
N00003467,501764
N00003473,364176
N00003476,377328
N00003504,701759
