CID,amount
         ,256250.0
C00000059,1200.0
C00000422,971783.0
C00000638,5025.0
C00000729,485764.0
C00000885,329819.0
C00000901,2087643.0
C00000935,49190672.0
C00000984,113242.0
C00001008,62250.0
C00001016,212669.0
C00001180,77125.0
C00001198,421199.0
C00001214,822282.0
C00001305,910191.0
C00001313,2709618.0
C00001347,43650.0
C00001388,75684.0
C00001420,11050.0
C00001461,2550.0
C00001636,109036.0
C00001727,66150.0
C00001743,891.0
C00001776,7450.0
C00001818,45500.0
C00001917,78266.0
C00002089,26041.0
C00002147,6750.0
C00002238,39542.0
C00002261,495999.0
C00002469,525679.0
C00002766,61320.0
C00002790,7515.0
C00002840,112123.0
C00002881,679606.0
C00002907,12100.0
C00002956,77739.0
C00002972,752754.0
C00003111,207441.0
C00003152,56270.0
C00003160,13031.0
C00003210,500.0
C00003251,761731.0
C00003327,303082.0
C00003418,40342967.0
C00003558,166054.0
C00003590,6300.0
C00003632,60473.0
C00003764,758473.0
C00003806,1445.0
C00003855,1750.0
C00003970,139477.0
C00003988,135332.0
C00004036,33326.0
C00004101,52648.0
C00004275,364274.0
C00004325,72357.0
C00004473,238313.0
C00004606,277510.0
C00004812,801727.0
C00004861,1868.0
C00004879,105073.0
C00004994,55055.0
C00005132,23600.0
C00005157,28450.0
C00005173,303944.0
C00005249,417143.0
C00005462,41700.0
C00005561,2129949.0
C00005660,191201.0
C00005785,191096.0
C00005801,4441.0
C00005926,946313.0
C00006080,1488212.0
C00006486,1589382.0
C00007070,30148.0
C00007450,184992.0
C00007542,267660.0
C00007658,415134.0
C00007880,380949.0
C00007898,310876.0
C00007922,40541.0
C00007948,47571.0
C00008086,159484.0
C00008151,43020.0
C00008227,688638.0
C00008268,4475.0
C00008409,11865.0
C00008474,385120.0
C00008664,957724.0
C00008748,2250.0
C00008839,508078.0
C00009282,657191.0
C00009357,105750.0
C00009423,97409.0
C00009639,14234.0
C00009704,207851.0
C00009845,124180.0
C00009936,51998.0
C00009985,1078026.0
C00010033,222697.0
C00010082,1963727.0
C00010124,96800.0
C00010322,98966.0
C00010363,69200.0
C00010421,1340884.0
C00010439,220550.0
C00010470,944613.0
C00010520,240.0
C00010603,78283762.0
C00010793,114625.0
C00010868,697234.0
C00010983,126230.0
C00011114,29840.0
C00011197,2542087.0
C00011221,250.0
C00011262,2060.0
C00011338,6540.0
C00011544,137800.0
C00011627,27820.0
C00011643,7644.0
C00012211,881.0
C00012245,476078.0
C00012310,350.0
C00012328,158100.0
C00012401,2050.0
C00012468,73296.0
C00012476,4570.0
C00012484,43050.0
C00012518,12480.0
C00012880,574521.0
C00012914,439795.0
C00013342,3453.0
C00013748,236439.0
C00013961,364190.0
C00014019,22605.0
C00014092,13244.0
C00014498,590585.0
C00014555,220955.0
C00014878,61521.0
C00015024,200.0
C00015552,203150.0
C00015594,66168.0
C00015933,35322.0
C00016386,231000.0
C00016444,65900.0
C00016683,402337.0
C00016899,2869363.0
C00017194,453.0
C00017244,2400.0
C00017525,85944.0
C00017558,169224.0
C00017681,5500.0
C00018028,183067.0
C00018036,14400.0
C00018929,784815.0
C00018945,2489.0
C00019083,3471.0
C00019331,731156.0
C00019380,706467.0
C00019653,120508.0
C00020453,10333.0
C00020818,556864.0
C00021121,46726.0
C00021295,125962.0
C00021972,58556.0
C00022343,1291426.0
C00022368,203540.0
